action,advpnsc,assignip,cookies,date,desc,dir,dst_host,duration,error_num,espauth,esptransform,eventtime,exch,fctuid,group,in_spi,init,level,locip,locport,logdesc,logid,mode,msg,nextstat,out_spi,outintf,peer_notif,phase2_name,rcvdbyte,reason,remip,remport,result,role,sentbyte,seq,spi,srccountry,stage,status,subtype,time,tunnelid,tunnelip,tunneltype,type,tz,user,useralt,vd,version,vpntunnel,xauthgroup,xauthuser
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,502795,,,,1721554725568099186,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,466837480,,41.111.161.37,14514,,,559050634,,,Algeria,,,vpn,10:38:46,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554469846983290,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:34:29,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721554469846883064,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:34:29,0,,ssl-web,event,+0100,putanobu,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554469486893433,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:34:29,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554469110152702,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:34:28,0,,ssl,event,+0100,N/A,,root,,,,
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,502195,,,,1721554125568017513,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,465633976,,41.111.161.37,14514,,,557694194,,,Algeria,,,vpn,10:28:46,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554062371622978,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:27:43,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721554062371511335,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:27:42,0,,ssl-web,event,+0100,carin.forsemalm,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554052914394687,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:27:32,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721554052471882554,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:27:32,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553985623777613,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:26:26,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553985623663001,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:26:25,0,,ssl-web,event,+0100,passionbeaute,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553985263318458,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:26:25,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553984485618996,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:26:24,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553779991893579,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:22:59,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553779241483261,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:22:59,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553779241462525,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:22:59,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553778474453238,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:22:58,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553759143205720,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:22:38,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553759143104805,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:22:38,0,,ssl-web,event,+0100,kuwabara,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553758709089116,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:22:38,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553758305296872,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:22:38,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553718801942826,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:21:58,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553718801820505,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:21:58,0,,ssl-web,event,+0100,chuangye,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553718273028875,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:21:58,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553717896020323,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:21:57,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553655469870611,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:20:56,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553655469764670,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:20:55,0,,ssl-web,event,+0100,k-makoto,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553654463050289,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:20:54,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553654099212988,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:20:53,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553640592941537,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:20:41,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553640592820519,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:20:40,0,,ssl-web,event,+0100,t-e-h3,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553640025146403,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:20:39,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553639644049219,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:20:39,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553528351800736,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:18:49,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553528351643927,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:18:48,0,,ssl-web,event,+0100,rpmlovers,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553527939216385,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:18:47,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553527465080392,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:18:47,0,,ssl,event,+0100,N/A,,root,,,,
tunnel-stats,0,N/A,6411abcc6216f739/9d1911ba747ed135,2024-07-21,,,,501595,,,,1721553525564686242,,N/A,N/A,,,notice,41.106.128.162,4500,IPsec tunnel statistics,0101037141,,IPsec tunnel statistics,600,,port6,,,464685560,,41.111.161.37,14514,,,556582594,,,Algeria,,,vpn,10:18:46,790370705,N/A,ipsec,event,+0100,192.168.1.122,N/A,root,,DG,N/A,N/A
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553496462920029,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:18:17,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553496462806777,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:18:16,0,,ssl-web,event,+0100,mamo,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553496063321483,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:18:15,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553495219256830,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:18:15,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553445085519458,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:17:24,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553445085425825,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:17:24,0,,ssl-web,event,+0100,hospitality,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553445058613771,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:17:24,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553445058490295,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:17:24,0,,ssl-web,event,+0100,hospital,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553444697244918,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:17:24,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553444272547498,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:17:24,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553444153109959,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:17:24,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553443744683007,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:17:23,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553311471754209,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:15:12,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553311471628198,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:15:11,0,,ssl-web,event,+0100,t-07310831,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553310701029333,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:15:10,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553310308197082,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:15:10,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553303993144431,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:15:03,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553303993020249,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:15:03,0,,ssl-web,event,+0100,motimex,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553303620937439,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:15:03,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553303268754054,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:15:03,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553130114335444,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:09,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553129805732290,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:09,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553129805710202,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:09,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553127572246958,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:07,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553127258292738,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:07,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553127258270900,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:07,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553127125320571,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:06,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553127065071519,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:06,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553126842394587,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:06,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553126842369867,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:06,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553126782466752,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:06,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553126742797303,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:06,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553126742777019,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:06,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553126333093855,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:06,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553126298248405,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:06,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553126219373729,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:06,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553125959970159,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:05,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553125954570453,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:05,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553125954543335,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:05,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553125182642994,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:12:05,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553119643416787,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:11:59,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553119643309349,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:11:59,0,,ssl-web,event,+0100,jkkim,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553119454884479,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:11:59,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553119454771147,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:11:59,0,,ssl-web,event,+0100,officer,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553119273956544,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:11:59,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553118750243615,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:11:58,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553118573638007,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:11:58,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553118059434748,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:11:57,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553112354202862,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:11:52,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721553112354092794,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:11:52,0,,ssl-web,event,+0100,ceo,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553111935869182,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:11:51,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721553111112763210,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,94.232.47.205,,,,,,,Russian Federation,,,vpn,10:11:50,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721552940941127430,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:09:00,0,,ssl,event,+0100,N/A,,root,,,,
ssl-login-fail,,,,2024-07-21,,,N/A,,,,,1721552940941008445,,,N/A,,,alert,,,SSL VPN login fail,0101039426,,SSL user failed to logged in,,,,,,,sslvpn_login_unknown_user,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:09:00,0,,ssl-web,event,+0100,iris132,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721552940533918641,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:09:00,0,,ssl,event,+0100,N/A,,root,,,,
ssl-alert,,,,2024-07-21,close notify,,N/A,,,,,1721552939388232395,,,N/A,,,error,,,SSL VPN alert,0101039944,,SSL alerts,,,,,,,warning,2.57.149.109,,,,,,,Russian Federation,,,vpn,10:08:59,0,,ssl,event,+0100,N/A,,root,,,,
